Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
UK,2015,Malware,Government,68.8,284512,Nation-state,Social Engineering,Antivirus,23
Japan,2021,Malware,Education,76.8,607544,Nation-state,Weak Passwords,Encryption,56
UK,2016,Ransomware,Banking,92.39,61764,Hacker Group,Social Engineering,Encryption,38
USA,2023,DDoS,Telecommunications,11.73,489053,Nation-state,Zero-day,Antivirus,29
China,2020,SQL Injection,Telecommunications,29.31,8884,Nation-state,Weak Passwords,Firewall,23
Germany,2017,Ransomware,Retail,91.67,80135,Hacker Group,Social Engineering,AI-based Detection,35
USA,2022,Phishing,Retail,47.66,20064,Insider,Social Engineering,Encryption,61
India,2022,SQL Injection,Telecommunications,95.74,849940,Insider,Weak Passwords,AI-based Detection,61
Japan,2021,Ransomware,Government,79.25,437649,Hacker Group,Weak Passwords,Firewall,10
Australia,2020,SQL Injection,Telecommunications,43.69,269137,Unknown,Unpatched Software,AI-based Detection,18
UK,2018,Malware,Telecommunications,23.27,233460,Insider,Unpatched Software,Antivirus,11
UK,2015,SQL Injection,Banking,6.96,474585,Nation-state,Unpatched Software,Firewall,34
Russia,2024,SQL Injection,Government,41.65,674211,Hacker Group,Weak Passwords,Firewall,54
Brazil,2020,Phishing,Healthcare,18.79,267178,Nation-state,Social Engineering,Firewall,56
Russia,2022,DDoS,Healthcare,58.93,104121,Hacker Group,Zero-day,Firewall,15
UK,2020,Ransomware,IT,83.29,217598,Hacker Group,Unpatched Software,Encryption,24
China,2024,Ransomware,Government,65.96,44082,Nation-state,Social Engineering,VPN,48
India,2018,Phishing,Banking,71.58,31733,Hacker Group,Unpatched Software,Encryption,49
Australia,2022,Man-in-the-Middle,Banking,34.16,346224,Nation-state,Zero-day,Encryption,64
Australia,2015,DDoS,IT,61.01,419127,Unknown,Social Engineering,Firewall,26
USA,2024,Man-in-the-Middle,Education,53.59,810539,Unknown,Weak Passwords,Antivirus,22
USA,2020,DDoS,Retail,11.79,692784,Hacker Group,Unpatched Software,Firewall,2
USA,2020,SQL Injection,Retail,16.98,315050,Unknown,Unpatched Software,Encryption,8
India,2016,SQL Injection,IT,29.24,786464,Unknown,Weak Passwords,Encryption,38
UK,2023,Man-in-the-Middle,IT,20.35,140061,Hacker Group,Weak Passwords,AI-based Detection,42
Brazil,2021,SQL Injection,IT,34.32,673923,Hacker Group,Unpatched Software,Encryption,3
Japan,2017,SQL Injection,Government,35.88,221051,Insider,Zero-day,Encryption,18
Russia,2017,SQL Injection,Banking,33.84,442940,Nation-state,Unpatched Software,AI-based Detection,7
Russia,2024,SQL Injection,Telecommunications,17.21,677688,Nation-state,Zero-day,Encryption,31
Russia,2017,Ransomware,Education,95.08,679860,Unknown,Social Engineering,Encryption,66
Germany,2016,Phishing,Retail,27.85,963983,Unknown,Zero-day,Encryption,45
UK,2020,DDoS,Retail,18.52,125100,Unknown,Weak Passwords,VPN,61
China,2016,DDoS,Education,81.31,815317,Hacker Group,Social Engineering,Antivirus,72
China,2020,Man-in-the-Middle,Retail,34.82,500252,Nation-state,Zero-day,Antivirus,29
India,2018,DDoS,Education,55.3,512953,Unknown,Weak Passwords,Firewall,57
India,2023,Phishing,IT,88.71,337377,Hacker Group,Social Engineering,AI-based Detection,23
India,2024,DDoS,Retail,0.6,766733,Insider,Zero-day,AI-based Detection,55
USA,2023,Malware,Retail,50.02,578310,Nation-state,Weak Passwords,Antivirus,15
France,2022,Man-in-the-Middle,Telecommunications,12.96,255574,Insider,Social Engineering,Firewall,69
China,2023,Phishing,IT,43.58,169152,Nation-state,Unpatched Software,Encryption,49
USA,2020,Man-in-the-Middle,IT,33.22,216472,Unknown,Zero-day,Encryption,55
Japan,2020,Phishing,Retail,38.96,370096,Nation-state,Weak Passwords,Encryption,23
India,2020,Phishing,Telecommunications,30.14,742555,Insider,Zero-day,Firewall,57
Russia,2020,Man-in-the-Middle,IT,21.72,870019,Insider,Social Engineering,AI-based Detection,5
Australia,2022,Malware,IT,93.2,941679,Hacker Group,Social Engineering,Antivirus,43
France,2024,DDoS,Retail,88.17,738419,Unknown,Zero-day,Firewall,11
Brazil,2018,Phishing,Retail,42.46,4136,Nation-state,Zero-day,Encryption,23
India,2022,SQL Injection,Education,61.41,995847,Nation-state,Social Engineering,Encryption,1
Japan,2022,Ransomware,Education,51.51,536995,Hacker Group,Weak Passwords,Encryption,3
Germany,2016,Malware,Telecommunications,77.7,57200,Hacker Group,Social Engineering,VPN,26
USA,2016,Phishing,Government,14.65,936566,Nation-state,Social Engineering,VPN,61
Japan,2019,DDoS,Healthcare,68.4,567370,Insider,Unpatched Software,VPN,9
India,2015,Malware,Banking,34.51,970056,Hacker Group,Unpatched Software,Firewall,30
Brazil,2020,Ransomware,IT,71.74,3432,Hacker Group,Unpatched Software,AI-based Detection,45
Brazil,2015,Malware,Education,37.54,49473,Insider,Social Engineering,Firewall,51
France,2019,Man-in-the-Middle,IT,76.35,460984,Hacker Group,Zero-day,Firewall,55
UK,2024,Phishing,IT,71.2,228010,Nation-state,Social Engineering,Antivirus,59
Russia,2024,Ransomware,Government,48.88,172789,Hacker Group,Unpatched Software,VPN,10
China,2020,Man-in-the-Middle,Retail,48.24,338732,Nation-state,Unpatched Software,Firewall,15
Germany,2017,Ransomware,Healthcare,32.0,175755,Insider,Weak Passwords,Firewall,30
Brazil,2023,DDoS,Education,50.34,897521,Nation-state,Social Engineering,AI-based Detection,19
Russia,2016,Ransomware,Healthcare,5.18,719532,Insider,Unpatched Software,VPN,10
Australia,2024,DDoS,Government,95.28,583925,Insider,Zero-day,Encryption,70
Russia,2016,Phishing,Retail,70.4,480522,Unknown,Zero-day,Antivirus,72
Brazil,2015,SQL Injection,IT,47.2,16957,Unknown,Zero-day,Firewall,49
France,2016,Ransomware,IT,29.35,316228,Unknown,Unpatched Software,VPN,7
Australia,2018,SQL Injection,Banking,20.28,363414,Insider,Unpatched Software,Antivirus,59
UK,2015,Man-in-the-Middle,Telecommunications,71.9,733671,Insider,Zero-day,VPN,20
France,2019,SQL Injection,Telecommunications,27.91,399457,Nation-state,Weak Passwords,Firewall,48
China,2017,DDoS,Government,57.34,171772,Nation-state,Social Engineering,Firewall,8
USA,2015,Phishing,Government,82.4,197305,Insider,Unpatched Software,AI-based Detection,34
Russia,2023,Ransomware,Healthcare,15.08,677971,Insider,Social Engineering,VPN,51
India,2021,Man-in-the-Middle,Banking,55.12,942454,Hacker Group,Social Engineering,VPN,66
Russia,2022,Ransomware,Government,38.84,211205,Insider,Unpatched Software,Antivirus,54
Japan,2024,Malware,Telecommunications,42.79,483399,Insider,Zero-day,Antivirus,50
China,2016,DDoS,Telecommunications,97.83,699791,Nation-state,Weak Passwords,Encryption,2
Germany,2019,Phishing,Education,10.04,679314,Nation-state,Unpatched Software,Antivirus,39
Brazil,2020,SQL Injection,Retail,96.97,466897,Insider,Unpatched Software,VPN,58
Brazil,2024,SQL Injection,Healthcare,41.05,175957,Hacker Group,Zero-day,Antivirus,69
India,2019,Ransomware,Government,10.37,912202,Nation-state,Weak Passwords,VPN,15
Russia,2019,DDoS,Education,33.73,985398,Nation-state,Social Engineering,Antivirus,54
China,2023,SQL Injection,Education,4.18,715127,Nation-state,Weak Passwords,Antivirus,60
USA,2021,Malware,Retail,72.24,472835,Hacker Group,Unpatched Software,Encryption,57
Australia,2016,DDoS,Healthcare,98.25,412019,Unknown,Weak Passwords,Antivirus,34
India,2021,SQL Injection,Retail,85.69,172469,Insider,Weak Passwords,Antivirus,16
UK,2015,Phishing,Banking,39.12,893284,Unknown,Unpatched Software,AI-based Detection,21
India,2021,Malware,Telecommunications,82.66,586,Hacker Group,Zero-day,VPN,23
Japan,2017,Phishing,IT,49.12,845169,Nation-state,Social Engineering,VPN,1
Germany,2018,Ransomware,Government,89.36,184748,Unknown,Unpatched Software,Firewall,4
Japan,2021,Malware,Healthcare,77.84,783976,Nation-state,Weak Passwords,Firewall,62
France,2015,Phishing,IT,49.84,282583,Unknown,Weak Passwords,VPN,15
Germany,2020,SQL Injection,Healthcare,96.31,591828,Unknown,Unpatched Software,Encryption,16
India,2018,SQL Injection,Government,18.44,27344,Nation-state,Zero-day,VPN,1
Australia,2024,Ransomware,Healthcare,18.16,200307,Unknown,Social Engineering,Antivirus,59
China,2018,Man-in-the-Middle,IT,68.28,528411,Insider,Zero-day,AI-based Detection,10
France,2015,Phishing,Banking,95.72,551812,Insider,Weak Passwords,Encryption,69
Brazil,2019,SQL Injection,Education,96.6,975019,Unknown,Unpatched Software,Firewall,38
China,2015,DDoS,Government,97.15,399851,Nation-state,Social Engineering,VPN,38
India,2024,Ransomware,Government,79.3,998833,Hacker Group,Social Engineering,Firewall,21
France,2017,Man-in-the-Middle,Education,76.35,517640,Hacker Group,Unpatched Software,Firewall,4
Russia,2023,DDoS,Banking,33.51,615332,Hacker Group,Social Engineering,AI-based Detection,65
France,2017,SQL Injection,Healthcare,96.08,592364,Insider,Weak Passwords,Antivirus,21
China,2020,Phishing,Education,33.69,943680,Insider,Zero-day,AI-based Detection,46
Brazil,2017,Man-in-the-Middle,Retail,17.99,506551,Unknown,Unpatched Software,Antivirus,53
Japan,2022,Ransomware,Government,86.84,122651,Insider,Weak Passwords,AI-based Detection,59
USA,2018,Man-in-the-Middle,Retail,97.62,459039,Nation-state,Weak Passwords,Firewall,68
Germany,2021,Ransomware,IT,25.85,176331,Insider,Weak Passwords,Antivirus,25
USA,2018,Ransomware,Healthcare,27.37,543437,Unknown,Unpatched Software,Firewall,20
Germany,2022,SQL Injection,Telecommunications,29.02,859311,Insider,Zero-day,AI-based Detection,47
USA,2018,DDoS,Retail,90.78,877041,Unknown,Unpatched Software,VPN,48
France,2022,Ransomware,Healthcare,42.33,657939,Nation-state,Social Engineering,Antivirus,47
Japan,2019,DDoS,Banking,81.89,920270,Nation-state,Unpatched Software,Antivirus,20
USA,2015,Ransomware,Healthcare,43.81,905935,Unknown,Unpatched Software,VPN,60
Australia,2019,Malware,Telecommunications,93.71,217863,Insider,Unpatched Software,VPN,31
UK,2020,Man-in-the-Middle,Government,54.29,930468,Insider,Social Engineering,AI-based Detection,35
Japan,2022,Phishing,Healthcare,55.72,179545,Unknown,Zero-day,Encryption,15
India,2023,Ransomware,Retail,5.57,582097,Insider,Weak Passwords,Antivirus,40
France,2023,SQL Injection,Banking,48.1,360752,Unknown,Zero-day,Antivirus,21
India,2020,Phishing,Retail,25.79,907128,Insider,Unpatched Software,Antivirus,13
UK,2024,Man-in-the-Middle,Banking,14.84,817793,Hacker Group,Social Engineering,VPN,64
China,2024,Malware,Healthcare,85.76,922209,Nation-state,Zero-day,Antivirus,27
USA,2019,DDoS,Retail,18.76,411707,Insider,Social Engineering,VPN,42
India,2020,Phishing,Healthcare,38.19,847958,Insider,Weak Passwords,Firewall,32
India,2015,Man-in-the-Middle,Banking,38.1,187807,Nation-state,Unpatched Software,VPN,37
China,2024,SQL Injection,Telecommunications,10.18,637350,Unknown,Weak Passwords,Antivirus,52
China,2024,SQL Injection,IT,36.27,237068,Hacker Group,Zero-day,Encryption,65
Australia,2022,Ransomware,Government,92.07,819812,Nation-state,Unpatched Software,Encryption,63
Brazil,2023,SQL Injection,Healthcare,72.9,434510,Hacker Group,Social Engineering,Firewall,72
USA,2019,DDoS,Telecommunications,57.52,513601,Nation-state,Unpatched Software,VPN,14
Japan,2015,Malware,Healthcare,5.79,821803,Unknown,Social Engineering,Firewall,40
Russia,2020,Man-in-the-Middle,IT,14.68,12585,Unknown,Zero-day,Antivirus,30
Russia,2020,Man-in-the-Middle,Telecommunications,10.12,405253,Hacker Group,Unpatched Software,Antivirus,52
Japan,2017,DDoS,IT,86.89,703035,Unknown,Unpatched Software,Firewall,15
Australia,2022,Phishing,Government,9.84,580402,Nation-state,Social Engineering,VPN,70
France,2017,Man-in-the-Middle,Education,49.94,640572,Hacker Group,Social Engineering,Firewall,51
Japan,2023,Phishing,Banking,75.13,85528,Hacker Group,Social Engineering,VPN,55
UK,2024,Malware,Healthcare,33.21,79940,Unknown,Zero-day,Firewall,64
China,2023,SQL Injection,Telecommunications,54.41,215401,Hacker Group,Social Engineering,VPN,50
France,2018,Malware,IT,59.56,450313,Nation-state,Zero-day,AI-based Detection,26
Australia,2016,Malware,Retail,45.71,461668,Nation-state,Unpatched Software,Firewall,10
France,2021,Man-in-the-Middle,Banking,4.94,71156,Insider,Social Engineering,Encryption,34
India,2017,Ransomware,Government,89.47,201732,Unknown,Zero-day,Antivirus,39
Russia,2018,Man-in-the-Middle,Government,45.91,322132,Nation-state,Weak Passwords,Encryption,44
Japan,2021,Phishing,Banking,82.85,854309,Insider,Zero-day,Antivirus,16
USA,2016,Phishing,Retail,89.85,998085,Insider,Zero-day,VPN,7
France,2018,Malware,IT,10.81,479628,Insider,Weak Passwords,VPN,13
Russia,2022,Malware,Healthcare,34.32,554162,Insider,Weak Passwords,Encryption,33
USA,2022,Phishing,Government,92.54,653402,Hacker Group,Social Engineering,Firewall,5
UK,2016,Man-in-the-Middle,Government,62.9,119785,Hacker Group,Unpatched Software,Encryption,14
Germany,2018,DDoS,Banking,48.76,754656,Hacker Group,Unpatched Software,VPN,35
USA,2016,Malware,Retail,41.11,848855,Unknown,Unpatched Software,VPN,37
China,2021,SQL Injection,Healthcare,57.2,328454,Nation-state,Zero-day,VPN,10
Russia,2018,DDoS,Education,13.13,510702,Hacker Group,Weak Passwords,Firewall,15
Australia,2015,Man-in-the-Middle,Education,20.96,248083,Hacker Group,Social Engineering,Encryption,70
Brazil,2023,DDoS,Government,42.75,746425,Unknown,Zero-day,VPN,24
Japan,2018,Ransomware,Education,82.89,336607,Unknown,Zero-day,AI-based Detection,17
Brazil,2021,Ransomware,Government,21.21,570810,Insider,Social Engineering,Firewall,72
France,2020,Malware,Banking,12.25,162930,Insider,Unpatched Software,Firewall,13
Japan,2015,SQL Injection,Education,61.87,244406,Nation-state,Social Engineering,VPN,43
Japan,2016,DDoS,Education,71.12,604557,Nation-state,Social Engineering,Encryption,20
Germany,2024,Man-in-the-Middle,Education,26.58,313397,Hacker Group,Social Engineering,AI-based Detection,36
Australia,2023,Malware,Retail,5.24,696902,Nation-state,Unpatched Software,Encryption,21
UK,2024,Phishing,Banking,30.39,156576,Hacker Group,Unpatched Software,VPN,72
UK,2020,Phishing,Healthcare,66.55,843310,Hacker Group,Zero-day,Antivirus,71
China,2016,DDoS,Telecommunications,83.02,281862,Insider,Social Engineering,AI-based Detection,4
India,2024,Ransomware,IT,88.23,526308,Insider,Unpatched Software,Antivirus,23
Russia,2018,DDoS,IT,5.18,826924,Insider,Social Engineering,VPN,35
China,2024,DDoS,IT,13.77,928751,Insider,Social Engineering,Encryption,26
China,2021,Ransomware,Education,21.9,304804,Hacker Group,Weak Passwords,AI-based Detection,53
Brazil,2024,Man-in-the-Middle,Education,34.42,960625,Nation-state,Weak Passwords,Firewall,48
France,2019,Ransomware,Government,57.9,264088,Unknown,Weak Passwords,AI-based Detection,28
Australia,2022,Phishing,Healthcare,61.97,633750,Insider,Unpatched Software,Antivirus,45
China,2021,Ransomware,Healthcare,56.11,255531,Unknown,Social Engineering,Firewall,17
Australia,2018,Ransomware,Banking,50.64,874035,Insider,Unpatched Software,Antivirus,38
USA,2017,DDoS,Healthcare,64.99,632431,Insider,Zero-day,VPN,55
Brazil,2018,Ransomware,Education,69.04,939146,Nation-state,Zero-day,Firewall,56
India,2022,Man-in-the-Middle,Retail,13.82,633855,Hacker Group,Social Engineering,Antivirus,37
Australia,2016,Malware,Government,22.48,686176,Nation-state,Zero-day,Firewall,62
China,2022,Malware,Retail,11.31,561807,Unknown,Zero-day,Antivirus,17
India,2023,SQL Injection,Government,60.53,15768,Unknown,Zero-day,VPN,66
Germany,2019,Malware,Healthcare,98.45,32423,Hacker Group,Weak Passwords,Antivirus,45
China,2021,SQL Injection,IT,97.06,329378,Nation-state,Weak Passwords,VPN,61
India,2020,Phishing,Healthcare,64.7,541451,Hacker Group,Weak Passwords,Encryption,17
China,2020,Man-in-the-Middle,Education,1.05,255393,Unknown,Unpatched Software,Encryption,71
Japan,2017,Phishing,Government,89.97,141115,Hacker Group,Zero-day,AI-based Detection,9
India,2015,Man-in-the-Middle,Telecommunications,48.58,358210,Nation-state,Zero-day,AI-based Detection,11
Japan,2023,Man-in-the-Middle,Education,16.42,60322,Insider,Zero-day,VPN,22
China,2019,Ransomware,Government,15.42,555153,Unknown,Zero-day,Encryption,11
India,2018,SQL Injection,Healthcare,47.15,98266,Insider,Social Engineering,Firewall,18
Russia,2019,Man-in-the-Middle,IT,52.8,633511,Insider,Zero-day,VPN,58
UK,2015,Man-in-the-Middle,Banking,64.88,976213,Unknown,Social Engineering,Firewall,28
Brazil,2016,DDoS,Telecommunications,94.1,838739,Unknown,Social Engineering,VPN,21
China,2023,Ransomware,IT,23.18,367503,Nation-state,Weak Passwords,Encryption,17
China,2018,Ransomware,Education,17.44,598614,Insider,Social Engineering,VPN,59
France,2022,Phishing,Retail,22.72,629571,Hacker Group,Unpatched Software,VPN,41
Japan,2021,Man-in-the-Middle,Education,69.99,834355,Nation-state,Unpatched Software,AI-based Detection,71
USA,2020,Man-in-the-Middle,IT,87.88,731495,Nation-state,Unpatched Software,Antivirus,3
UK,2020,SQL Injection,Retail,69.91,354637,Insider,Social Engineering,VPN,63
USA,2020,Ransomware,Banking,27.45,60428,Nation-state,Weak Passwords,Antivirus,27
China,2024,DDoS,Retail,13.17,95351,Nation-state,Unpatched Software,Antivirus,11
Brazil,2020,Phishing,Retail,50.99,826159,Insider,Weak Passwords,VPN,3
France,2020,SQL Injection,Healthcare,66.92,234301,Insider,Zero-day,AI-based Detection,32
UK,2020,Phishing,Healthcare,39.47,551014,Nation-state,Social Engineering,Firewall,71
Brazil,2017,SQL Injection,Telecommunications,4.35,809757,Nation-state,Social Engineering,VPN,61
UK,2017,Malware,Healthcare,24.06,612319,Unknown,Social Engineering,Antivirus,47
UK,2015,Phishing,Telecommunications,21.8,312051,Nation-state,Unpatched Software,VPN,41
USA,2018,Phishing,Banking,89.74,279786,Insider,Zero-day,VPN,46
Australia,2016,Phishing,Government,72.34,847817,Hacker Group,Social Engineering,Firewall,13
Australia,2016,Man-in-the-Middle,Education,37.48,382682,Nation-state,Zero-day,Firewall,12
USA,2021,Phishing,IT,38.2,159917,Insider,Zero-day,Antivirus,47
France,2023,Man-in-the-Middle,Government,85.85,841548,Unknown,Zero-day,Firewall,68
Japan,2017,DDoS,Healthcare,5.5,751586,Nation-state,Social Engineering,AI-based Detection,24
Germany,2024,Man-in-the-Middle,Banking,53.51,680154,Nation-state,Zero-day,Firewall,2
France,2023,Phishing,Education,37.38,978508,Insider,Weak Passwords,Firewall,42
Germany,2020,Man-in-the-Middle,IT,84.55,392247,Unknown,Zero-day,Antivirus,7
Russia,2023,SQL Injection,Retail,34.87,446911,Unknown,Weak Passwords,Firewall,25
Australia,2023,Ransomware,IT,17.26,777799,Insider,Weak Passwords,Firewall,2
Australia,2016,Ransomware,Healthcare,82.99,799581,Nation-state,Zero-day,AI-based Detection,50
Germany,2015,Man-in-the-Middle,Retail,85.34,819676,Hacker Group,Zero-day,Antivirus,59
Japan,2023,SQL Injection,Telecommunications,31.46,192430,Nation-state,Unpatched Software,AI-based Detection,49
UK,2016,DDoS,Telecommunications,74.5,735,Hacker Group,Unpatched Software,Firewall,69
USA,2023,Ransomware,Healthcare,12.79,654947,Insider,Social Engineering,Encryption,23
USA,2018,DDoS,Banking,10.01,327826,Hacker Group,Social Engineering,AI-based Detection,35
France,2016,Man-in-the-Middle,Healthcare,23.99,106126,Unknown,Weak Passwords,Antivirus,19
Russia,2022,Man-in-the-Middle,IT,34.57,46493,Insider,Unpatched Software,Encryption,62
Japan,2021,Man-in-the-Middle,Education,15.78,733307,Nation-state,Social Engineering,Firewall,29
France,2015,Malware,Government,71.91,789673,Unknown,Weak Passwords,Antivirus,31
China,2017,Ransomware,Education,64.93,159061,Insider,Weak Passwords,Firewall,12
China,2020,Phishing,Education,6.35,80748,Hacker Group,Zero-day,Encryption,8
UK,2020,Man-in-the-Middle,IT,85.85,697536,Unknown,Social Engineering,AI-based Detection,72
Brazil,2019,SQL Injection,Healthcare,46.5,748146,Insider,Weak Passwords,AI-based Detection,13
Russia,2020,Man-in-the-Middle,Telecommunications,64.39,803579,Unknown,Weak Passwords,VPN,1
France,2021,Phishing,Retail,13.47,537683,Insider,Unpatched Software,VPN,41
France,2020,DDoS,Retail,40.72,743271,Nation-state,Social Engineering,Firewall,10
Australia,2018,Malware,Telecommunications,36.01,215231,Unknown,Zero-day,AI-based Detection,49
UK,2022,Phishing,Banking,57.89,135941,Nation-state,Social Engineering,AI-based Detection,7
USA,2017,Phishing,IT,7.95,362478,Hacker Group,Zero-day,Encryption,67
Russia,2022,DDoS,Education,13.89,537149,Nation-state,Unpatched Software,VPN,54
China,2016,SQL Injection,Retail,96.28,162061,Insider,Zero-day,Firewall,32
China,2016,Ransomware,Banking,94.63,455702,Hacker Group,Weak Passwords,Antivirus,5
UK,2021,Ransomware,Telecommunications,13.26,448367,Nation-state,Social Engineering,AI-based Detection,7
France,2019,Malware,Retail,21.92,603904,Nation-state,Unpatched Software,Firewall,38
France,2016,Malware,IT,81.81,331741,Hacker Group,Social Engineering,Antivirus,29
Japan,2023,Ransomware,Education,58.79,983506,Hacker Group,Social Engineering,AI-based Detection,35
China,2015,Phishing,Retail,14.72,914743,Insider,Social Engineering,AI-based Detection,69
Germany,2022,Malware,Banking,59.7,258587,Insider,Social Engineering,VPN,7
Brazil,2020,Man-in-the-Middle,Retail,16.26,527964,Insider,Zero-day,Firewall,28
Brazil,2015,Phishing,Banking,29.61,593384,Unknown,Zero-day,Firewall,65
UK,2023,Malware,IT,82.38,386972,Insider,Unpatched Software,AI-based Detection,56
China,2017,DDoS,Healthcare,96.49,644339,Insider,Unpatched Software,Antivirus,71
Brazil,2024,DDoS,Healthcare,76.39,782425,Insider,Weak Passwords,Encryption,13
Russia,2024,SQL Injection,Banking,79.98,84185,Nation-state,Weak Passwords,VPN,2
UK,2022,Malware,Healthcare,91.65,337120,Insider,Weak Passwords,Firewall,59
UK,2020,Phishing,Banking,3.84,241282,Hacker Group,Social Engineering,Encryption,55
China,2023,DDoS,Healthcare,97.15,734819,Unknown,Unpatched Software,AI-based Detection,50
Australia,2024,DDoS,Healthcare,77.04,8517,Hacker Group,Weak Passwords,Encryption,4
UK,2018,Man-in-the-Middle,Government,91.52,865257,Nation-state,Social Engineering,VPN,19
Germany,2023,SQL Injection,Education,37.4,662428,Insider,Weak Passwords,AI-based Detection,4
China,2020,Malware,Healthcare,11.89,646567,Insider,Unpatched Software,VPN,15
USA,2019,DDoS,Telecommunications,43.29,266748,Unknown,Unpatched Software,Antivirus,30
USA,2022,Ransomware,Retail,92.88,771367,Hacker Group,Social Engineering,Firewall,5
USA,2020,DDoS,Banking,99.81,948174,Unknown,Social Engineering,AI-based Detection,4
Brazil,2017,DDoS,Healthcare,62.74,460264,Unknown,Social Engineering,Firewall,9
USA,2017,DDoS,Government,96.89,794147,Unknown,Unpatched Software,Antivirus,4
France,2015,SQL Injection,IT,43.86,72222,Unknown,Weak Passwords,Firewall,64
France,2020,DDoS,Telecommunications,66.27,995231,Nation-state,Weak Passwords,Firewall,53
Japan,2021,Malware,Retail,90.8,841766,Nation-state,Social Engineering,AI-based Detection,16
Russia,2015,Man-in-the-Middle,IT,95.04,566542,Unknown,Weak Passwords,Firewall,58
UK,2022,Malware,Healthcare,12.67,781284,Hacker Group,Weak Passwords,Firewall,11
UK,2021,Phishing,IT,89.59,361270,Nation-state,Weak Passwords,VPN,31
India,2022,Malware,Telecommunications,97.03,404834,Hacker Group,Zero-day,VPN,62
China,2023,DDoS,Government,53.46,374484,Unknown,Unpatched Software,Antivirus,46
Australia,2020,SQL Injection,IT,21.02,681476,Unknown,Weak Passwords,VPN,6
India,2019,SQL Injection,Retail,15.39,514826,Hacker Group,Unpatched Software,Firewall,72
Japan,2022,Malware,Education,97.32,742866,Nation-state,Social Engineering,Encryption,61
UK,2016,Ransomware,Healthcare,61.66,639896,Hacker Group,Social Engineering,VPN,63
Australia,2022,SQL Injection,IT,15.29,42346,Hacker Group,Unpatched Software,VPN,33
Japan,2019,Malware,Telecommunications,5.88,235399,Unknown,Social Engineering,Antivirus,21
USA,2015,Man-in-the-Middle,Retail,24.93,448426,Nation-state,Weak Passwords,VPN,36
France,2020,Ransomware,Retail,97.37,467137,Nation-state,Social Engineering,Encryption,14
Japan,2017,SQL Injection,Education,11.49,364107,Hacker Group,Social Engineering,AI-based Detection,28
India,2022,Man-in-the-Middle,Government,4.05,357898,Hacker Group,Social Engineering,Firewall,27
China,2016,DDoS,Banking,76.9,605118,Insider,Social Engineering,Firewall,30
Russia,2022,Man-in-the-Middle,Education,96.44,106169,Nation-state,Unpatched Software,Encryption,28
France,2016,Ransomware,Healthcare,34.29,157547,Insider,Unpatched Software,AI-based Detection,29
Brazil,2022,SQL Injection,Healthcare,56.63,242677,Insider,Social Engineering,Encryption,21
China,2016,SQL Injection,Banking,63.67,385872,Insider,Zero-day,Firewall,50
Germany,2018,DDoS,Retail,80.85,148209,Insider,Weak Passwords,Antivirus,54
Japan,2022,DDoS,Healthcare,9.5,387457,Nation-state,Weak Passwords,VPN,61
Russia,2023,Malware,IT,47.22,404004,Nation-state,Social Engineering,Encryption,58
UK,2018,Ransomware,Retail,28.98,981029,Nation-state,Weak Passwords,Antivirus,42
France,2017,Malware,Telecommunications,96.63,389525,Unknown,Zero-day,Antivirus,32
India,2019,SQL Injection,IT,43.97,764974,Nation-state,Weak Passwords,VPN,18
India,2017,Man-in-the-Middle,Healthcare,91.4,621971,Nation-state,Weak Passwords,AI-based Detection,49
Brazil,2024,SQL Injection,IT,53.71,680584,Insider,Zero-day,AI-based Detection,5
China,2018,SQL Injection,Education,15.36,907858,Nation-state,Social Engineering,Encryption,47
Russia,2021,SQL Injection,Banking,80.68,983047,Hacker Group,Unpatched Software,Antivirus,19
France,2015,Malware,Government,17.3,610049,Hacker Group,Social Engineering,AI-based Detection,37
India,2021,SQL Injection,IT,52.16,100105,Unknown,Zero-day,Firewall,56
USA,2023,SQL Injection,Government,89.46,59398,Hacker Group,Zero-day,Antivirus,8
USA,2023,Malware,Banking,35.91,91974,Hacker Group,Zero-day,AI-based Detection,41
Brazil,2019,Ransomware,Healthcare,9.32,785564,Insider,Unpatched Software,Antivirus,70
China,2023,Phishing,Banking,15.21,597516,Nation-state,Unpatched Software,Antivirus,15
UK,2019,Ransomware,IT,17.98,799372,Hacker Group,Zero-day,AI-based Detection,14
France,2018,SQL Injection,Banking,32.84,77096,Unknown,Weak Passwords,VPN,29
Brazil,2023,Man-in-the-Middle,Retail,59.18,610786,Nation-state,Social Engineering,AI-based Detection,31
Japan,2021,SQL Injection,Telecommunications,28.33,667271,Insider,Weak Passwords,Firewall,22
China,2023,Phishing,Banking,33.27,133315,Nation-state,Weak Passwords,AI-based Detection,25
Brazil,2019,SQL Injection,Government,24.93,381105,Unknown,Weak Passwords,Encryption,3
UK,2020,Ransomware,Banking,98.07,795120,Unknown,Social Engineering,Firewall,42
Russia,2017,SQL Injection,Healthcare,67.13,198285,Nation-state,Unpatched Software,Encryption,56
India,2023,DDoS,Government,34.46,580270,Unknown,Unpatched Software,Firewall,35
UK,2018,Ransomware,Retail,45.67,277410,Hacker Group,Social Engineering,Firewall,42
Australia,2022,Man-in-the-Middle,Government,38.29,793946,Nation-state,Weak Passwords,Firewall,12
Australia,2019,Ransomware,Banking,15.21,126770,Insider,Weak Passwords,Encryption,67
